batch_file_id,batch_date,source_system,customer_key,card_token,txn_datetime,approval_no,merchant_name,merchant_id,mcc,category,amount,currency,is_cancel,original_approval_no,installment_months,channel,city
BF20260113-001,2026-01-13,VAN01,C0001,TKN_C0001_01,2026-01-13 08:12:34,A839201,스타벅스 강남점,M000101,5814,카페,5800,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0002,TKN_C0002_01,2026-01-13 09:05:10,A839202,GS25 역삼점,M000102,5411,편의점,4200,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0003,TKN_C0003_01,2026-01-13 09:33:21,A839203,버거킹 선릉점,M000103,5814,패스트푸드,9800,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0001,TKN_C0001_01,2026-01-13 10:11:02,A839204,쿠팡페이 온라인결제,M000201,5311,온라인쇼핑,32900,KRW,false,,0,ONLINE,서울
BF20260113-001,2026-01-13,VAN01,C0002,TKN_C0002_01,2026-01-13 11:44:19,A839205,메가커피 강남역점,M000104,5814,카페,4500,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0003,TKN_C0003_01,2026-01-13 12:05:55,A839206,아마존 익스프레스,M000105,7787,생활용품,33,USD,false,,0,OFFLINE,뉴욕
BF20260113-001,2026-01-13,VAN01,C0001,TKN_C0001_01,2026-01-13 12:20:40,A839207,배달의민족,M000301,5499,배달,21900,KRW,false,,0,ONLINE,서울
BF20260113-001,2026-01-13,VAN01,C0002,TKN_C0002_01,2026-01-13 13:15:07,A839208,교보문고 광화문,M000106,5942,서점,16800,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0003,TKN_C0003_01,2026-01-13 14:02:18,A839209,다이소 강남점,M000107,5331,생활용품,12000,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0001,TKN_C0001_01,2026-01-13 15:47:33,A839210,네이버페이,M000302,5311,온라인쇼핑,15700,KRW,false,,0,ONLINE,서울
BF20260113-001,2026-01-13,VAN01,C0002,TKN_C0002_01,2026-01-13 16:10:59,A839211,CGV 강남,M000108,7832,영화,15000,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0003,TKN_C0003_01,2026-01-13 17:22:41,A839212,올리브영 강남타운,M000109,5977,드럭스토어,23400,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0001,TKN_C0001_01,2026-01-13 18:01:05,A839213,택시 결제(카카오T),M000401,4121,교통,9200,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0002,TKN_C0002_01,2026-01-13 18:25:10,A839214,오늘의집,M000303,5311,온라인쇼핑,46800,KRW,false,,2,ONLINE,서울
BF20260113-001,2026-01-13,VAN01,C0003,TKN_C0003_01,2026-01-13 19:11:46,A839215,파리바게뜨 역삼점,M000110,5462,베이커리,7800,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0001,TKN_C0001_01,2026-01-13 20:05:12,A839216,넷플릭스,M000501,4899,구독,17000,KRW,false,,0,ONLINE,서울
BF20260113-001,2026-01-13,VAN01,C0002,TKN_C0002_01,2026-01-13 20:32:27,A839217,유튜브 프리미엄,M000502,4899,구독,10,USD,false,,0,ONLINE,LA
BF20260113-001,2026-01-13,VAN01,C0003,TKN_C0003_01,2026-01-13 21:03:58,A839218,지하철(티머니),M000402,4111,교통,1450,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0001,TKN_C0001_01,2026-01-13 21:45:31,A839219,배달의민족,M000301,5499,배달,31200,KRW,false,,0,ONLINE,서울
BF20260113-001,2026-01-13,VAN01,C0002,TKN_C0002_01,2026-01-13 22:18:05,A839220,GS25 역삼점,M000102,5411,편의점,2600,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0003,TKN_C0003_01,2026-01-13 22:41:19,A839221,쿠팡페이 온라인결제,M000201,5311,온라인쇼핑,58900,KRW,false,,0,ONLINE,서울
BF20260113-001,2026-01-13,VAN01,C0002,TKN_C0002_01,2026-01-13 16:10:59,A839211,CGV 강남,M000108,7832,영화,15000,KRW,false,,0,OFFLINE,서울
BF20260113-001,2026-01-13,VAN01,C0001,TKN_C0001_01,2026-01-13 12:20:40,A839207,배달의민족,M000301,5499,배달,21900,KRW,true,A839207,0,ONLINE,서울
BF20260113-001,2026-01-13,VAN01,C0002,TKN_C0002_01,2026-01-13 18:25:10,A839214,오늘의집,M000303,5311,온라인쇼핑,46800,KRW,true,A839214,2,ONLINE,서울
